country,division
Afghanistan,middle_east_central_asia
Akrotiri Sovereign Base Area,
Aland,europe
Albania,europe
Algeria,africa
American Samoa,asia
Andorra,europe
Angola,africa
Anguilla,latin_america_caribbean
Antarctica,
Antigua and Barbuda,latin_america_caribbean
Argentina,latin_america_caribbean
Armenia,middle_east_central_asia
Aruba,latin_america_caribbean
Ashmore and Cartier Islands,
Australia,asia
Austria,europe
Azerbaijan,middle_east_central_asia
Bahrain,middle_east_central_asia
Bajo Nuevo Bank (Petrel Is.),
Bangladesh,asia
Barbados,latin_america_caribbean
Baykonur Cosmodrome,
Belarus,europe
Belgium,europe
Belize,latin_america_caribbean
Benin,africa
Bermuda,latin_america_caribbean
Bhutan,asia
Bir Tawil,
Bolivia,latin_america_caribbean
Bosnia and Herzegovina,europe
Botswana,africa
Brazil,latin_america_caribbean
Brazilian Island,
British Indian Ocean Territory,
British Virgin Islands,latin_america_caribbean
Brunei,asia
Bulgaria,europe
Burkina Faso,africa
Burundi,africa
Cabo Verde,africa
Cambodia,asia
Cameroon,africa
Canada,
Cayman Islands,latin_america_caribbean
Central African Republic,africa
Chad,africa
Chile,latin_america_caribbean
China,asia
Clipperton Island,
Colombia,latin_america_caribbean
Comoros,africa
Cook Islands,asia
Coral Sea Islands,
Costa Rica,latin_america_caribbean
Croatia,europe
Cuba,latin_america_caribbean
Curaçao,latin_america_caribbean
Cyprus,europe
Cyprus No Mans Area,
Czechia,europe
Democratic Republic of the Congo,africa
Denmark,europe
Dhekelia Sovereign Base Area,
Djibouti,africa
Dominica,latin_america_caribbean
Dominican Republic,latin_america_caribbean
East Timor,asia
Ecuador,latin_america_caribbean
Egypt,africa
El Salvador,latin_america_caribbean
Equatorial Guinea,africa
Eritrea,africa
Estonia,europe
Ethiopia,africa
Falkland Islands,latin_america_caribbean
Faroe Islands,europe
Federated States of Micronesia,asia
Fiji,asia
Finland,europe
France,europe
French Polynesia,asia
French Southern and Antarctic Lands,
Gabon,africa
Gambia,africa
Georgia,middle_east_central_asia
Germany,europe
Ghana,africa
Gibraltar,europe
Greece,europe
Greenland,
Grenada,latin_america_caribbean
Guam,asia
Guatemala,latin_america_caribbean
Guernsey,europe
Guinea,africa
Guinea-Bissau,africa
Guyana,latin_america_caribbean
Haiti,latin_america_caribbean
Heard Island and McDonald Islands,
Honduras,latin_america_caribbean
Hong Kong S.A.R.,asia
Hungary,europe
Iceland,europe
India,asia
Indian Ocean Territories,
Indonesia,asia
Iran,middle_east_central_asia
Iraq,middle_east_central_asia
Ireland,europe
Isle of Man,europe
Israel,middle_east_central_asia
Italy,europe
Ivory Coast,africa
Jamaica,latin_america_caribbean
Japan,asia
Jersey,europe
Jordan,middle_east_central_asia
Kazakhstan,middle_east_central_asia
Kenya,africa
Kiribati,asia
Kosovo,europe
Kuwait,middle_east_central_asia
Kyrgyzstan,middle_east_central_asia
Laos,asia
Latvia,europe
Lebanon,middle_east_central_asia
Lesotho,africa
Liberia,africa
Libya,africa
Liechtenstein,europe
Lithuania,europe
Luxembourg,europe
Macao S.A.R,asia
Madagascar,africa
Malawi,africa
Malaysia,asia
Maldives,asia
Mali,africa
Malta,europe
Marshall Islands,asia
Mauritania,africa
Mauritius,africa
Mexico,latin_america_caribbean
Moldova,europe
Monaco,europe
Mongolia,asia
Montenegro,europe
Montserrat,latin_america_caribbean
Morocco,africa
Mozambique,africa
Myanmar,asia
Namibia,africa
Nauru,asia
Nepal,asia
Netherlands,europe
New Caledonia,asia
New Zealand,asia
Nicaragua,latin_america_caribbean
Niger,africa
Nigeria,africa
Niue,asia
Norfolk Island,asia
North Korea,asia
North Macedonia,europe
Northern Cyprus,europe
Northern Mariana Islands,asia
Norway,europe
Oman,middle_east_central_asia
Pakistan,asia
Palau,asia
Palestine,middle_east_central_asia
Panama,latin_america_caribbean
Papua New Guinea,asia
Paraguay,latin_america_caribbean
Peru,latin_america_caribbean
Philippines,asia
Pitcairn Islands,asia
Poland,europe
Portugal,europe
Puerto Rico,latin_america_caribbean
Qatar,middle_east_central_asia
Republic of Serbia,europe
Republic of the Congo,africa
Romania,europe
Russia,middle_east_central_asia
Rwanda,africa
Saint Barthelemy,latin_america_caribbean
Saint Helena,africa
Saint Kitts and Nevis,latin_america_caribbean
Saint Lucia,latin_america_caribbean
Saint Martin,latin_america_caribbean
Saint Pierre and Miquelon,latin_america_caribbean
Saint Vincent and the Grenadines,latin_america_caribbean
Samoa,asia
San Marino,europe
Saudi Arabia,middle_east_central_asia
Scarborough Reef,
Senegal,africa
Serranilla Bank,
Seychelles,africa
Siachen Glacier,
Sierra Leone,africa
Singapore,asia
Sint Maarten,latin_america_caribbean
Slovakia,europe
Slovenia,europe
Solomon Islands,asia
Somalia,africa
Somaliland,africa
South Africa,africa
South Georgia and the Islands,latin_america_caribbean
South Korea,asia
South Sudan,africa
Southern Patagonian Ice Field,latin_america_caribbean
Spain,europe
Spratly Islands,
Sri Lanka,asia
Sudan,africa
Suriname,latin_america_caribbean
Sweden,europe
Switzerland,europe
Syria,middle_east_central_asia
São Tomé and Principe,africa
Taiwan,asia
Tajikistan,middle_east_central_asia
Thailand,asia
The Bahamas,latin_america_caribbean
Togo,africa
Tonga,asia
Trinidad and Tobago,latin_america_caribbean
Tunisia,africa
Turkey,middle_east_central_asia
Turkmenistan,middle_east_central_asia
Turks and Caicos Islands,latin_america_caribbean
Tuvalu,asia
US Naval Base Guantanamo Bay,latin_america_caribbean
Uganda,africa
Ukraine,europe
United Arab Emirates,middle_east_central_asia
United Kingdom,europe
United Republic of Tanzania,africa
United States Minor Outlying Islands,asia
United States Virgin Islands,latin_america_caribbean
United States of America,
Uruguay,latin_america_caribbean
Uzbekistan,middle_east_central_asia
Vanuatu,asia
Vatican,europe
Venezuela,latin_america_caribbean
Vietnam,asia
Wallis and Futuna,asia
Western Sahara,africa
Yemen,middle_east_central_asia
Zambia,africa
Zimbabwe,africa
eSwatini,africa
